Polish,Dutch,English,Correct,False,Date added,Residuals
tak,['ja'],['yes'],7,0,2018-08-29,-0.14334707291517557
piją,['zij drinken'],['they drink'],7,0,2019-03-13,-0.14334707291517557
dwudziesty drugi,['tweeentwintigste'],['twenty second'],7,0,2018-08-31,-0.14334707291517557
różowy,['roze'],['pink'],7,0,2018-09-11,-0.14334707291517557
i,['en'],['and'],7,0,2018-09-10,-0.14334707291517557
ja gotuję,['ik kook'],['I cook'],7,0,2019-03-11,-0.14334707291517557
piąty,['vijfde'],['fifth'],7,0,2018-08-31,-0.14334707291517557
sekunda,['seconde'],['second'],7,0,2018-09-09,-0.14334707291517557
za późno,['te laat'],['too late'],7,0,2018-08-31,-0.14334707291517557
cześć,['hallo'],['hi'],7,0,2019-03-13,-0.14334707291517557
tysiąc sto,['elfhonderd'],['thousand one hundred'],7,0,2018-08-31,-0.14334707291517557
witam,['welkom'],['welcome'],7,0,2018-08-25,-0.14334707291517557
musieć,['moeten'],['to have to'],7,0,2019-03-26,-0.14334707291517557
sok,['sap'],['juice'],7,0,2019-03-13,-0.14334707291517557
zimny,['koud'],['cold'],7,0,2018-08-24,-0.14334707291517557
gorąca czekolada,['warme chocolademelk'],['hot chocolate'],7,0,2019-03-13,-0.14334707291517557
arbuz,['watermeloen'],['watermelon'],7,0,2019-03-14,-0.14334707291517557
robić,['doen'],['to do'],7,0,2018-09-09,-0.14334707291517557
nie mam teraz czasu,['ik heb nu geen tijd'],"[""I don't have time right now""]",7,0,2018-09-06,-0.14334707291517557
cztery,['vier'],['four'],7,0,2018-08-30,-0.14334707291517557
dwadzieścia,['twintig'],['twenty'],7,0,2018-08-30,-0.14334707291517557
niebieski,['blauw'],['blue'],7,0,2018-09-11,-0.14334707291517557
sto jeden,['honderdeneen'],['hundred and one'],7,0,2018-08-31,-0.14334707291517557
nieczynny,['gesloten'],['closed'],7,0,2018-08-29,-0.14334707291517557
śniadanie,['ontbijt'],['breakfast'],7,0,2019-03-11,-0.14334707291517557
szesnaście,['zestien'],['sixteen'],7,0,2018-08-30,-0.14334707291517557
uwaga,['let op'],['watch out'],7,0,2018-08-24,-0.14334707291517557
kolorowy,['gekleurd'],['colored'],7,0,2018-09-11,-0.14334707291517557
łosoś,['zalm'],['salmon'],7,0,2019-03-13,-0.14334707291517557
siedemset,['zevenhonderd'],['seven hundred'],7,0,2018-08-31,-0.14334707291517557
malina,['framboos'],['raspberry'],7,0,2019-03-14,-0.14334707291517557
co,['wat'],['what'],7,0,2018-09-10,-0.14334707291517557
mówić,['spreken'],['to speak'],7,0,2019-03-26,-0.14334707291517557
nowe,['nieuw'],['new'],7,0,2018-08-27,-0.14334707291517557
dwa,['twee'],['two'],7,0,2018-08-29,-0.14334707291517557
cukier,['suiker'],['sugar'],7,0,2019-03-11,-0.14334707291517557
trochę,['een beetje'],['a bit'],7,0,2018-09-10,-0.14334707291517557
pięćset,['vijfhonderd'],['five hundred'],7,0,2018-08-31,-0.14334707291517557
ojciec,['vader'],['father'],7,0,2018-08-22,-0.14334707291517557
pytanie,['vraag'],['question'],7,0,2018-08-24,-0.14334707291517557
zielony,['groen'],['green'],7,0,2018-09-11,-0.14334707291517557
zarezerwowany,['gereserveerd'],['reserved'],7,0,2018-08-24,-0.14334707291517557
mówie trochę po polsku,['ik spreek een beetje Pools'],['I speak a bit of Polish'],7,0,2018-08-24,-0.14334707291517557
romantyczny,['romantisch'],['romantic'],7,0,2018-09-11,-0.14334707291517557
małoletni,['minderjarig'],['minor'],7,0,2018-08-24,-0.14334707291517557
dwadzieścia dwa,['tweeentwintig'],['twenty two'],7,0,2018-08-30,-0.14334707291517557
dom,['huis'],['house'],7,0,2018-08-27,-0.14334707291517557
rok,['jaar'],['year'],7,0,2018-09-06,-0.14334707291517557
gruszka,['peer'],['pear'],7,0,2019-03-14,-0.14334707291517557
milion,['miljoen'],['million'],7,0,2018-08-31,-0.14334707291517557
dziewięćset,['negenhonderd'],['nine hundred'],7,0,2018-08-31,-0.14334707291517557
rodzaj nijaki,['onzijdig'],['neutral'],7,0,2018-08-24,-0.14334707291517557
dwudziesty,['twintigste'],['twentyth'],7,0,2018-08-31,-0.14334707291517557
pół godziny,['een half uur'],['half an hour'],7,0,2018-08-31,-0.14334707291517557
marchew,['wortel'],['carrot'],7,0,2018-09-11,-0.14334707291517557
melon spadziowy,['honingmeloen'],['honeydew melon'],7,0,2019-03-14,-0.14334707291517557
tysiąc,['duizend'],['thousand'],7,0,2018-08-31,-0.14334707291517557
jabłko,['appel'],['apple'],7,0,2018-09-12,-0.14334707291517557
ser,['kaas'],['cheese'],7,0,2018-08-27,-0.14334707291517557
brat,['broer'],['brother'],7,0,2018-08-24,-0.14334707291517557
napój,['drankje'],['drink'],7,0,2019-03-13,-0.14334707291517557
basen,['zwembad'],['pool'],7,0,2018-08-24,-0.14334707291517557
menedżer,['manager'],['manager'],7,0,2018-09-09,-0.14334707291517557
jogurt,['yoghurt'],['yogurt'],7,0,2019-03-13,-0.14334707291517557
okej,['okay'],['ok'],7,0,2019-03-13,-0.14334707291517557
woda mineralna,['mineraalwater'],['mineral water'],7,0,2019-03-13,-0.14334707291517557
jajko,['ei'],['egg'],7,0,2019-03-11,-0.14334707291517557
stare,['oud'],['old'],7,0,2018-08-27,-0.14334707291517557
lata,['jaar'],['year'],7,0,2019-03-26,-0.14334707291517557
kolory,['kleuren'],['colors'],7,0,2018-09-11,-0.14334707291517557
winogrono,['druif'],['grape'],7,0,2019-03-14,-0.14334707291517557
rodzina,['gezin'],['family'],7,0,2018-08-24,-0.14334707291517557
kiełbasa,['worst'],['sausage'],7,0,2019-03-13,-0.14334707291517557
impreza,['feest'],['party'],7,0,2019-03-08,-0.14334707291517557
samochód,['auto'],['car'],7,0,2018-09-11,-0.14334707291517557
nie lubisz tańczyć?,['houd je niet van dansen?'],"[""don't you like dancing?""]",7,0,2018-09-06,-0.14334707291517557
dziś,['vandaag'],['today'],7,0,2018-08-24,-0.14334707291517557
iść prosto,['rechtdoor gaan'],['going straight'],7,0,2018-09-06,-0.14334707291517557
kapusta,['kool'],['cabbage'],7,0,2019-03-14,-0.14334707291517557
gorąco,['heet'],['hot'],7,0,2018-08-29,-0.14334707291517557
bagaż,['bagage'],['baggage'],7,0,2018-09-11,-0.14334707291517557
kto to jest?,['wie is dat?'],['who is that?'],7,0,2018-08-24,-0.14334707291517557
ziemniak,['aardappel'],['potato'],7,0,2019-03-14,-0.14334707291517557
sobota,['zaterdag'],['saturday'],7,0,2018-08-30,-0.14334707291517557
bekon,['bacon'],['bacon'],7,0,2019-03-13,-0.14334707291517557
zamknięty,['gesloten'],['closed'],7,0,2018-08-24,-0.14334707291517557
siedemnaście,['zeventien'],['seventeen'],7,0,2018-08-30,-0.14334707291517557
trzy,['drie'],['three'],7,0,2018-08-24,-0.14334707291517557
pijecie,['jullie drinken'],['you drink'],7,0,2019-03-13,-0.14334707291517557
banan,['banaan'],['banana'],7,0,2019-03-14,-0.14334707291517557
ryż,['rijst'],['rice'],7,0,2019-03-14,-0.14334707291517557
kurczak,['kip'],['chicken'],7,0,2018-09-09,-0.14334707291517557
ja,['ik'],['I'],7,0,2018-09-10,-0.14334707291517557
dziś wieczorem,['vanavond'],['this evening'],7,0,2018-08-24,-0.14334707291517557
prosto,['rechtdoor'],['straight ahead'],7,0,2018-08-29,-0.14334707291517557
piętnaście,['vijftien'],['fifteen'],7,0,2018-08-30,-0.14334707291517557
owoce,['fruit'],['fruits'],7,0,2019-03-11,-0.14334707291517557
osiemnaście,['achttien'],['eightteen'],7,0,2018-08-30,-0.14334707291517557
pijesz,['jij drinkt'],['you drink'],7,0,2019-03-13,-0.14334707291517557
czwartek,['donderdag'],['thursday'],7,0,2018-08-30,-0.14334707291517557
miłej podróży,['goede reis'],['have a good trip'],7,0,2018-09-11,-0.14334707291517557
plan miasta,['plattegrond'],['city map'],7,0,2018-09-11,-0.14334707291517557
woda,['water'],['water'],7,0,2018-09-09,-0.14334707291517557
dwudziesty pierwszy,['eenentwintigste'],['twenty first'],7,0,2018-08-31,-0.14334707291517557
długopis,['pen'],['pen'],7,0,2018-09-08,-0.14334707291517557
być,['zijn'],['to be'],7,0,2018-08-22,-0.14334707291517557
ósmy,['achtste'],['eighth'],7,0,2018-08-31,-0.14334707291517557
jeden,['een'],['one'],7,0,2018-08-29,-0.14334707291517557
dziesięć,['tien'],['ten'],7,0,2018-08-30,-0.14334707291517557
osiemnasty,['achttiende'],['eightteenth'],7,0,2018-08-31,-0.14334707291517557
pierwsza pomoc,['eerste hulp'],['first aid'],7,0,2018-08-24,-0.14334707291517557
pół,['de helft'],['half'],7,0,2018-08-29,-0.14334707291517557
minuta,['minuut'],['minute'],7,0,2018-09-09,-0.14334707291517557
masło,['boter'],['butter'],7,0,2019-03-13,-0.14334707291517557
widelec,['vork'],['fork'],7,0,2019-03-11,-0.14334707291517557
piątek,['vrijdag'],['friday'],7,0,2018-08-30,-0.14334707291517557
w starczy,['genoeg'],['enough'],12,8,2018-09-09,-0.049427107133350745
pełny,['vol'],['full'],12,8,2018-08-24,-0.049427107133350745
szczęśliwej podróży,['goede reis'],['travel well'],9,3,2018-08-29,-0.030300932229859967
spieszę się,"['ik heb haast', 'ik haast me']",['i am in a hurry'],9,3,2018-08-25,-0.030300932229859967
panowie,['heren'],['gentlemen'],9,3,2018-08-24,-0.030300932229859967
o której?,['hoe laat?'],['what time?'],9,3,2018-08-31,-0.030300932229859967
raz,['een'],['one'],9,3,2018-08-29,-0.030300932229859967
ręka,['hand'],['hand'],9,3,2018-09-09,-0.030300932229859967
to jest moja walizka,['dit is mijn koffer'],['this is my suitcase'],9,3,2018-09-06,-0.030300932229859967
luty,['februari'],['February'],9,3,2018-09-08,-0.030300932229859967
jak on się nazywa?,['hoe heet hij?'],['what is he called?'],9,3,2018-08-25,-0.030300932229859967
urząd miejski,['stadhuis'],['city hall'],9,3,2018-08-24,-0.030300932229859967
dziewięćdziesiąt,['negentig'],['ninety'],9,3,2018-08-31,-0.030300932229859967
głowa,['hoofd'],['head'],9,3,2018-09-09,-0.030300932229859967
brzydki,['lelijk'],['ugly'],14,11,2018-09-09,0.06361903355196574
pod,['onder'],['beneath'],11,6,2018-08-29,0.0827452084554583
grzeczny,['lief'],['kind'],11,6,2018-08-27,0.0827452084554583
lipiec,['juli'],['July'],11,6,2018-09-08,0.0827452084554583
zepsute,['kapot'],['broken'],11,6,2018-09-11,0.0827452084554583
list,['brief'],['letter'],8,1,2018-09-12,0.10187138335895085
bez,['zonder'],['without'],8,1,2018-09-10,0.10187138335895085
talerz,['bord'],['plate'],8,1,2018-09-12,0.10187138335895085
jestem Holendrem,['ik ben Nederlander'],['I am from the Netherlands'],8,1,2018-08-25,0.10187138335895085
wszystko,['alles'],['everything'],8,1,2018-09-09,0.10187138335895085
ciastka,['gebak'],['cake'],8,1,2018-08-30,0.10187138335895085
ciemny,['donker'],['dark'],8,1,2018-09-11,0.10187138335895085
go,['hem'],['him'],8,1,2018-09-10,0.10187138335895085
serdecznie dziękuję za gościnę,['hartelijk dank voor de gastvrijheid'],['thank you very much for the hospitality'],8,1,2018-08-25,0.10187138335895085
siódmy,['zevende'],['seventh'],8,1,2018-08-31,0.10187138335895085
torty,['taart'],['pie'],8,1,2018-08-30,0.10187138335895085
nóż,['mes'],['knife'],8,1,2018-08-24,0.10187138335895085
chyba,['waarschijnlijk'],['probably'],8,1,2018-09-10,0.10187138335895085
szary,['grijs'],['grey'],8,1,2018-09-11,0.10187138335895085
pieprz,['peper'],['pepper'],8,1,2018-11-07,0.10187138335895085
codziennie,['elke dag'],['every day'],8,1,2018-08-27,0.10187138335895085
migdał,['amandel'],['almond'],8,1,2019-03-13,0.10187138335895085
pokój do wynajęcia,['kamer te huur'],['room for rent'],8,1,2018-08-24,0.10187138335895085
powiedzieć,['vertellen'],['to tell'],8,1,2019-03-26,0.10187138335895085
dziewięć,['negen'],['nine'],8,1,2018-08-30,0.10187138335895085
bardzo dobrze,['heel goed'],['very well'],8,1,2018-08-25,0.10187138335895085
kierunek,['richting'],['direction'],8,1,2018-08-24,0.10187138335895085
fasola,['boon'],['bean'],8,1,2019-03-14,0.10187138335895085
siedemnasty,['zeventiende'],['seventeenth'],8,1,2018-08-31,0.10187138335895085
nie wiem,['ik weet het niet'],"[""I don't know""]",8,1,2018-08-29,0.10187138335895085
portier,['concierge'],['concierge'],8,1,2018-08-24,0.10187138335895085
brązowy,['bruin'],['brown'],8,1,2018-09-11,0.10187138335895085
podróżować,['reizen'],['to travel'],8,1,2018-09-11,0.10187138335895085
góra,['berg'],['mountain'],8,1,2018-09-12,0.10187138335895085
toalety,['toiletten'],['toilets'],8,1,2018-08-24,0.10187138335895085
biuro podróży,['reisbureau'],['travel agency'],8,1,2018-08-24,0.10187138335895085
osiemdziesięt,['tachtig'],['eighty'],8,1,2018-08-31,0.10187138335895085
co pan (pani) mówi?,['wat zegt u?'],['what are you saying?'],8,1,2018-08-24,0.10187138335895085
siedemdziesiąt,['zeventig'],['seventy'],8,1,2018-08-31,0.10187138335895085
to się zgadza,['dat klopt'],['that is correct'],8,1,2018-09-06,0.10187138335895085
wszędzie,['overal'],['everywhere'],13,9,2018-08-29,0.19579134914077656
dwieście,['tweehonderd'],['two hundred'],13,9,2018-08-31,0.19579134914077656
wolny,['vrij'],['free'],10,4,2018-08-24,0.21491752404426734
czterysta,['vierhonderd'],['four hundred'],10,4,2018-08-31,0.21491752404426734
okienko,['balie'],['counter'],10,4,2018-09-12,0.21491752404426734
zajęty,['bezet'],['occupied'],10,4,2018-08-24,0.21491752404426734
tydzień,['week'],['week'],10,4,2018-09-06,0.21491752404426734
czy mógłby pan to powtórzyć?,['wilt u dat herhalen?'],['could you repeat that?'],10,4,2018-08-25,0.21491752404426734
stopa,['voet'],['foot'],10,4,2018-09-09,0.21491752404426734
jak pan (pani) się miewa?,['hoe gaat het met u?'],['how are you?'],10,4,2018-08-25,0.21491752404426734
przedwczoraj,['eergisteren'],['the day before yesterday'],10,4,2018-09-06,0.21491752404426734
zachmurzenie,['bewolking'],['clouds'],12,7,2018-08-29,0.3279636647295838
naprawdę,['echt'],['really'],12,7,2018-09-10,0.3279636647295838
słowo,['woord'],['word'],12,7,2018-08-25,0.3279636647295838
lewy,['links'],['left'],9,2,2018-08-24,0.34708983963307816
piasek,['zand'],['sand'],9,2,2018-08-24,0.34708983963307816
trzynasty,['dertiende'],['thirteenth'],9,2,2018-08-31,0.34708983963307816
szkoda,['jammer'],['unfortunate'],9,2,2018-08-30,0.34708983963307816
trzynaście,['dertien'],['thirteen'],9,2,2018-08-30,0.34708983963307816
wiatr,['wind'],['wind'],9,2,2018-08-29,0.34708983963307816
pierwszy,['eerste'],['first'],9,2,2018-08-31,0.34708983963307816
za wcześnie,['te vroeg'],['too early'],9,2,2018-08-31,0.34708983963307816
wolny dzień,['vrije dag'],['free day'],9,2,2018-08-31,0.34708983963307816
jutro wyjeżdżam,"['Ik vertrek morgen', 'Morgen vertrek ik']",['I leave tomorrow'],9,2,2018-09-11,0.34708983963307816
dla niepalących,['niet roken'],"[""don't smoke""]",9,2,2018-08-24,0.34708983963307816
palec,['vinger'],['finger'],9,2,2018-09-09,0.34708983963307816
