Polish;Dutch;English;Correct;False;Date added;Residuals
na szcz??cie;gelukkig;happy;10;9;2018-09-08;-1.6720363352704162
wszystek;alle;all the;7;4;2019-03-26;-1.6529101603669218
je?li;als;if;7;4;2018-09-10;-1.6529101603669218
czwarty;vierde;fourth;7;4;2018-08-31;-1.6529101603669218
trudny;moeilijk;difficult;12;12;2018-09-09;-1.5589901945850997
?o??dek;maag;stomach;6;2;2018-09-09;-1.5207378447781128
daleko;ver;far;6;2;2018-09-09;-1.5207378447781128
setny;honderdste;hundredth;8;5;2018-08-31;-1.4076917040927945
orzech ziemny;pinda;peanut;8;5;2019-03-13;-1.4076917040927945
zegar;klok;clock;7;3;2018-09-09;-1.2755193885039855
?ó?ty;geel;yellow;7;3;2018-09-11;-1.2755193885039855
dla pal?cych;roken;smoke;7;3;2018-08-24;-1.2755193885039855
zdania;zinnen;sentences;9;6;2018-08-27;-1.162473247818669
mie?;hebben;to have;6;1;2019-03-26;-1.1433470729151756
rodzaj m?ski;mannelijk;male;6;1;2018-08-24;-1.1433470729151756
po po?udniu;s middags;in the afternoon;8;4;2018-08-24;-1.03030093222986
panie;dames;ladies;8;4;2018-08-24;-1.03030093222986
borówka;bosbes;blueberry;8;4;2019-03-14;-1.03030093222986
kiedy;wanneer;when;10;7;2018-09-10;-0.9172547915445417
prosz? pozdrowi?;doe de groeten aan;send regards to;10;7;2018-08-25;-0.9172547915445417
prosz? wej??;kom binnen;come in;7;2;2018-08-25;-0.8981286166410491
dynia;pompoen;pumpkin;7;2;2019-03-14;-0.8981286166410491
mo?e;misschien;maybe;7;2;2018-08-29;-0.8981286166410491
trzysta;driehonderd;three hundred;7;2;2018-08-31;-0.8981286166410491
pomara?czowy;oranje;orange;7;2;2018-09-11;-0.8981286166410491
niedziela;zondag;sunday;7;2;2018-08-30;-0.8981286166410491
ostrze?enie;waarschuwing;warning;9;5;2018-08-24;-0.7850824759557327
grzyb;paddestoel;mushroom;6;0;2019-03-11;-0.7659563010522392
czy mówi pan (pani) po angielsku?;spreekt u Engels?;do you speak English?;6;0;2018-08-25;-0.7659563010522392
ogórek;komkommer;cucumber;6;0;2019-03-14;-0.7659563010522392
utalentowany;getalenteerd;talented;6;0;2018-09-11;-0.7659563010522392
kukurydza;mais;corn;6;0;2019-03-14;-0.7659563010522392
czosnek;knoflook;garlic;6;0;2019-03-14;-0.7659563010522392
ja jem;ik eet;I eat;6;0;2019-03-11;-0.7659563010522392
herbata;thee;tea;6;0;2018-09-09;-0.7659563010522392
ryba;vis;fish;6;0;2018-09-09;-0.7659563010522392
?liwka;pruim;plum;6;0;2019-03-14;-0.7659563010522392
pogoda;weer;weather;6;0;2018-08-29;-0.7659563010522392
szczególnie;bijzonder;special;14;13;2018-09-12;-0.691162510173907
znaczy?;betekenen;to mean;11;8;2018-09-12;-0.6720363352704162
mi?y;aardig;kind;11;8;2018-08-27;-0.6720363352704162
nauczycielka;leraar;teacher;8;3;2018-09-09;-0.6529101603669218
trzeci;derde;third;8;3;2018-08-31;-0.6529101603669218
sze??dziesi?t;zestig;sixty;8;3;2018-08-31;-0.6529101603669218
dzi? po po?udniu;vanmiddag;this afternoon;8;3;2018-08-24;-0.6529101603669218
?roda;woensdag;wednesday;8;3;2018-08-30;-0.6529101603669218
dziewi?tna?cie;negentien;nineteen;8;3;2018-08-30;-0.6529101603669218
orzech laskowy;hazelnoot;hazelnut;8;3;2019-03-13;-0.6529101603669218
imi?;voornaam;first name;8;3;2018-08-24;-0.6529101603669218
trzydziesty;dertigste;thirtyth;8;3;2018-08-31;-0.6529101603669218
zbieram;ik pluk;I pick;8;3;2019-03-14;-0.6529101603669218
czy to jest Adam?;is dat Adam?;is that Adam?;8;3;2018-08-24;-0.6529101603669218
nigdy;nooit;never;8;3;2018-09-10;-0.6529101603669218
prosz? bardzo;alstublieft;please;8;3;2018-08-24;-0.6529101603669218
zdrowy;gezond;healthy;8;3;2018-09-11;-0.6529101603669218
?atwy;makkelijk;easy;10;6;2018-09-09;-0.5398640196816054
czasownika;werkwoord;verb;10;6;2018-08-24;-0.5398640196816054
nalewam;ik giet;I pour;10;6;2019-03-13;-0.5398640196816054
wyprzeda?;uitverkoop;sale;10;6;2018-08-24;-0.5398640196816054
racjonalny;rationeel;rational;7;1;2018-09-11;-0.5207378447781128
bluzka;blouse;blouse;7;1;2018-09-12;-0.5207378447781128
rodzaj ?e?ski;vrouwelijk;female;7;1;2018-08-24;-0.5207378447781128
czy;of;whether;7;1;2018-08-22;-0.5207378447781128
pada;het regent;it is raining;7;1;2018-08-29;-0.5207378447781128
ubikacje;toiletten;toilets;7;1;2018-08-24;-0.5207378447781128
chcie?;willen;to want;7;1;2018-09-10;-0.5207378447781128
?ód?;boot;boat;7;1;2018-08-24;-0.5207378447781128
bilety;kaartjes;tickets;7;1;2018-08-24;-0.5207378447781128
osiem;acht;eight;7;1;2018-08-30;-0.5207378447781128
dwana?cie;twaalf;twelve;7;1;2018-08-30;-0.5207378447781128
dwadzie?cia jeden;eenentwintig;twenty one;7;1;2018-08-30;-0.5207378447781128
biuro;bureau;bureau;7;1;2018-08-24;-0.5207378447781128
dziesi?? tysi?cy;tienduizend;ten thousand;7;1;2018-08-31;-0.5207378447781128
jedenasty;elfde;eleventh;7;1;2018-08-31;-0.5207378447781128
dziesi?ty;tiende;tenth;7;1;2018-08-31;-0.5207378447781128
woda niezdatna do picia;water niet geschikt te drinken;water not suitable to drink;7;1;2018-08-24;-0.5207378447781128
by?o bardzo przyjemnie;het was erg leuk;it was very nice;7;1;2018-08-25;-0.5207378447781128
pi?tnasty;vijftiende;fifteenth;7;1;2018-08-31;-0.5207378447781128
tysi?czny;duizendste;thousandth;7;1;2018-08-31;-0.5207378447781128
kucharz;kok;cook;7;1;2018-09-09;-0.5207378447781128
u?miech;lach;laugh;7;1;2018-08-27;-0.5207378447781128
marzec;maart;March;7;1;2018-09-08;-0.5207378447781128
granica;grens;border;7;1;2018-09-11;-0.5207378447781128
brzoskwinia;perzik;peach;9;4;2019-03-14;-0.40769170409279454
czterdzie?ci;veertig;fourty;9;4;2018-08-31;-0.40769170409279454
dzi? w nocy;vannacht;this night;9;4;2018-08-24;-0.40769170409279454
miesi?c;maand;month;9;4;2018-09-06;-0.40769170409279454
puszka;blik;can;11;7;2018-09-12;-0.29464556340747805
widokówka;kaart;card;11;7;2018-09-12;-0.29464556340747805
jak to si? nazywa po polsku?;hoe heet dit in het Pools?;what is this called in Polish?;8;2;2018-08-25;-0.2755193885039855
dlaczego;waarom;why;8;2;2018-09-10;-0.2755193885039855
samolot;vliegtuig;plane;8;2;2018-09-11;-0.2755193885039855
lekarz;dokter;doctor;8;2;2018-09-09;-0.2755193885039855
naprzeciwko;tegenover;opposite;8;2;2018-08-29;-0.2755193885039855
rozumiem to;Ik begrijp het;I understand;8;2;2018-08-25;-0.2755193885039855
a pan (pani)?;en met u?;and with you?;8;2;2018-08-25;-0.2755193885039855
samolub;egoïst;egoist;8;2;2018-11-07;-0.2755193885039855
poniedzia?ek;maandag;monday;8;2;2018-08-30;-0.2755193885039855
piesi;voetgangers;pedestrians;8;2;2018-08-24;-0.2755193885039855
granice;grenzen;borders;8;2;2018-09-11;-0.2755193885039855
morela;abrikoos;apricot;8;2;2019-03-14;-0.2755193885039855
o co chodzi?;wat is er?;what is going on?;8;2;2018-08-25;-0.2755193885039855
cia?o;lichaam;body;13;10;2018-09-09;-0.18159942272216156
nazwisko;achternaam;surname;13;10;2018-08-29;-0.18159942272216156
oczywi?cie;natuurlijk;of course;13;10;2018-09-06;-0.18159942272216156
jasny;licht;light;10;5;2018-09-11;-0.162473247818669
wczoraj;gisteren;yesterday;10;5;2018-09-06;-0.162473247818669
smutny;treurig;sad;10;5;2018-08-27;-0.162473247818669
sam;alleen;alone;10;5;2018-09-12;-0.162473247818669
mleko;melk;milk;7;0;2019-03-13;-0.14334707291517557
rzodkiewka;radijs;radish;7;0;2019-03-14;-0.14334707291517557
spotykam;ik ontmoet;I meet;7;0;2019-03-13;-0.14334707291517557
fioletowy;violet;violet;7;0;2018-09-11;-0.14334707291517557
otwarte;open;open;7;0;2018-08-24;-0.14334707291517557
kolor;kleur;color;7;0;2018-09-11;-0.14334707291517557
bardzo;zeer;a lot;7;0;2018-09-10;-0.14334707291517557
sze??;zes;six;7;0;2018-08-30;-0.14334707291517557
kola;cola;coke;7;0;2019-03-13;-0.14334707291517557
jaki dzi? dzie??;welke dag is het vandaag?;what day is it today?;7;0;2018-08-30;-0.14334707291517557
hamburger;hamburger;hamburger;7;0;2019-03-13;-0.14334707291517557
pomidor;tomaat;tomata;7;0;2019-03-14;-0.14334707291517557
ale nonsens;wat een onzin;what a nonsense;7;0;2018-08-30;-0.14334707291517557
pij?;ik drink;I drink;7;0;2019-03-13;-0.14334707291517557
?y?ka;lepel;spoon;7;0;2018-08-24;-0.14334707291517557
napój gazowany;frisdrank;soda;7;0;2019-03-13;-0.14334707291517557
ty;jij;you;7;0;2018-09-10;-0.14334707291517557
bu?ka;broodje;sandwich;7;0;2018-08-30;-0.14334707291517557
cebula;ui;onion;7;0;2019-03-14;-0.14334707291517557
tak;ja;yes;7;0;2018-08-29;-0.14334707291517557
pij?;zij drinken;they drink;7;0;2019-03-13;-0.14334707291517557
dwudziesty drugi;tweeentwintigste;twenty second;7;0;2018-08-31;-0.14334707291517557
ró?owy;roze;pink;7;0;2018-09-11;-0.14334707291517557
i;en;and;7;0;2018-09-10;-0.14334707291517557
ja gotuj?;ik kook;I cook;7;0;2019-03-11;-0.14334707291517557
pi?ty;vijfde;fifth;7;0;2018-08-31;-0.14334707291517557
sekunda;seconde;second;7;0;2018-09-09;-0.14334707291517557
za pó?no;te laat;too late;7;0;2018-08-31;-0.14334707291517557
cze??;hallo;hi;7;0;2019-03-13;-0.14334707291517557
tysi?c sto;elfhonderd;thousand one hundred;7;0;2018-08-31;-0.14334707291517557
witam;welkom;welcome;7;0;2018-08-25;-0.14334707291517557
musie?;moeten;to have to;7;0;2019-03-26;-0.14334707291517557
sok;sap;juice;7;0;2019-03-13;-0.14334707291517557
zimny;koud;cold;7;0;2018-08-24;-0.14334707291517557
gor?ca czekolada;warme chocolademelk;hot chocolate;7;0;2019-03-13;-0.14334707291517557
arbuz;watermeloen;watermelon;7;0;2019-03-14;-0.14334707291517557
robi?;doen;to do;7;0;2018-09-09;-0.14334707291517557
nie mam teraz czasu;ik heb nu geen tijd;I don't have time right now;7;0;2018-09-06;-0.14334707291517557
cztery;vier;four;7;0;2018-08-30;-0.14334707291517557
dwadzie?cia;twintig;twenty;7;0;2018-08-30;-0.14334707291517557
niebieski;blauw;blue;7;0;2018-09-11;-0.14334707291517557
sto jeden;honderdeneen;hundred and one;7;0;2018-08-31;-0.14334707291517557
nieczynny;gesloten;closed;7;0;2018-08-29;-0.14334707291517557
?niadanie;ontbijt;breakfast;7;0;2019-03-11;-0.14334707291517557
szesna?cie;zestien;sixteen;7;0;2018-08-30;-0.14334707291517557
uwaga;let op;watch out;7;0;2018-08-24;-0.14334707291517557
kolorowy;gekleurd;colored;7;0;2018-09-11;-0.14334707291517557
?oso?;zalm;salmon;7;0;2019-03-13;-0.14334707291517557
siedemset;zevenhonderd;seven hundred;7;0;2018-08-31;-0.14334707291517557
malina;framboos;raspberry;7;0;2019-03-14;-0.14334707291517557
co;wat;what;7;0;2018-09-10;-0.14334707291517557
mówi?;spreken;to speak;7;0;2019-03-26;-0.14334707291517557
nowe;nieuw;new;7;0;2018-08-27;-0.14334707291517557
dwa;twee;two;7;0;2018-08-29;-0.14334707291517557
cukier;suiker;sugar;7;0;2019-03-11;-0.14334707291517557
troch?;een beetje;a bit;7;0;2018-09-10;-0.14334707291517557
pi??set;vijfhonderd;five hundred;7;0;2018-08-31;-0.14334707291517557
ojciec;vader;father;7;0;2018-08-22;-0.14334707291517557
pytanie;vraag;question;7;0;2018-08-24;-0.14334707291517557
zielony;groen;green;7;0;2018-09-11;-0.14334707291517557
zarezerwowany;gereserveerd;reserved;7;0;2018-08-24;-0.14334707291517557
mówie troch? po polsku;ik spreek een beetje Pools;I speak a bit of Polish;7;0;2018-08-24;-0.14334707291517557
romantyczny;romantisch;romantic;7;0;2018-09-11;-0.14334707291517557
ma?oletni;minderjarig;minor;7;0;2018-08-24;-0.14334707291517557
dwadzie?cia dwa;tweeentwintig;twenty two;7;0;2018-08-30;-0.14334707291517557
dom;huis;house;7;0;2018-08-27;-0.14334707291517557
rok;jaar;year;7;0;2018-09-06;-0.14334707291517557
gruszka;peer;pear;7;0;2019-03-14;-0.14334707291517557
milion;miljoen;million;7;0;2018-08-31;-0.14334707291517557
dziewi??set;negenhonderd;nine hundred;7;0;2018-08-31;-0.14334707291517557
rodzaj nijaki;onzijdig;neutral;7;0;2018-08-24;-0.14334707291517557
dwudziesty;twintigste;twentyth;7;0;2018-08-31;-0.14334707291517557
pó? godziny;een half uur;half an hour;7;0;2018-08-31;-0.14334707291517557
marchew;wortel;carrot;7;0;2018-09-11;-0.14334707291517557
melon spadziowy;honingmeloen;honeydew melon;7;0;2019-03-14;-0.14334707291517557
tysi?c;duizend;thousand;7;0;2018-08-31;-0.14334707291517557
jab?ko;appel;apple;7;0;2018-09-12;-0.14334707291517557
ser;kaas;cheese;7;0;2018-08-27;-0.14334707291517557
brat;broer;brother;7;0;2018-08-24;-0.14334707291517557
napój;drankje;drink;7;0;2019-03-13;-0.14334707291517557
basen;zwembad;pool;7;0;2018-08-24;-0.14334707291517557
mened?er;manager;manager;7;0;2018-09-09;-0.14334707291517557
jogurt;yoghurt;yogurt;7;0;2019-03-13;-0.14334707291517557
okej;okay;ok;7;0;2019-03-13;-0.14334707291517557
woda mineralna;mineraalwater;mineral water;7;0;2019-03-13;-0.14334707291517557
jajko;ei;egg;7;0;2019-03-11;-0.14334707291517557
stare;oud;old;7;0;2018-08-27;-0.14334707291517557
lata;jaar;year;7;0;2019-03-26;-0.14334707291517557
kolory;kleuren;colors;7;0;2018-09-11;-0.14334707291517557
winogrono;druif;grape;7;0;2019-03-14;-0.14334707291517557
rodzina;gezin;family;7;0;2018-08-24;-0.14334707291517557
kie?basa;worst;sausage;7;0;2019-03-13;-0.14334707291517557
impreza;feest;party;7;0;2019-03-08;-0.14334707291517557
samochód;auto;car;7;0;2018-09-11;-0.14334707291517557
nie lubisz ta?czy??;houd je niet van dansen?;don't you like dancing?;7;0;2018-09-06;-0.14334707291517557
dzi?;vandaag;today;7;0;2018-08-24;-0.14334707291517557
i?? prosto;rechtdoor gaan;going straight;7;0;2018-09-06;-0.14334707291517557
kapusta;kool;cabbage;7;0;2019-03-14;-0.14334707291517557
gor?co;heet;hot;7;0;2018-08-29;-0.14334707291517557
baga?;bagage;baggage;7;0;2018-09-11;-0.14334707291517557
kto to jest?;wie is dat?;who is that?;7;0;2018-08-24;-0.14334707291517557
ziemniak;aardappel;potato;7;0;2019-03-14;-0.14334707291517557
sobota;zaterdag;saturday;7;0;2018-08-30;-0.14334707291517557
bekon;bacon;bacon;7;0;2019-03-13;-0.14334707291517557
zamkni?ty;gesloten;closed;7;0;2018-08-24;-0.14334707291517557
siedemna?cie;zeventien;seventeen;7;0;2018-08-30;-0.14334707291517557
trzy;drie;three;7;0;2018-08-24;-0.14334707291517557
pijecie;jullie drinken;you drink;7;0;2019-03-13;-0.14334707291517557
banan;banaan;banana;7;0;2019-03-14;-0.14334707291517557
ry?;rijst;rice;7;0;2019-03-14;-0.14334707291517557
kurczak;kip;chicken;7;0;2018-09-09;-0.14334707291517557
ja;ik;I;7;0;2018-09-10;-0.14334707291517557
dzi? wieczorem;vanavond;this evening;7;0;2018-08-24;-0.14334707291517557
prosto;rechtdoor;straight ahead;7;0;2018-08-29;-0.14334707291517557
pi?tna?cie;vijftien;fifteen;7;0;2018-08-30;-0.14334707291517557
owoce;fruit;fruits;7;0;2019-03-11;-0.14334707291517557
osiemna?cie;achttien;eightteen;7;0;2018-08-30;-0.14334707291517557
pijesz;jij drinkt;you drink;7;0;2019-03-13;-0.14334707291517557
czwartek;donderdag;thursday;7;0;2018-08-30;-0.14334707291517557
mi?ej podró?y;goede reis;have a good trip;7;0;2018-09-11;-0.14334707291517557
plan miasta;plattegrond;city map;7;0;2018-09-11;-0.14334707291517557
woda;water;water;7;0;2018-09-09;-0.14334707291517557
dwudziesty pierwszy;eenentwintigste;twenty first;7;0;2018-08-31;-0.14334707291517557
d?ugopis;pen;pen;7;0;2018-09-08;-0.14334707291517557
by?;zijn;to be;7;0;2018-08-22;-0.14334707291517557
ósmy;achtste;eighth;7;0;2018-08-31;-0.14334707291517557
jeden;een;one;7;0;2018-08-29;-0.14334707291517557
dziesi??;tien;ten;7;0;2018-08-30;-0.14334707291517557
osiemnasty;achttiende;eightteenth;7;0;2018-08-31;-0.14334707291517557
pierwsza pomoc;eerste hulp;first aid;7;0;2018-08-24;-0.14334707291517557
pó?;de helft;half;7;0;2018-08-29;-0.14334707291517557
minuta;minuut;minute;7;0;2018-09-09;-0.14334707291517557
mas?o;boter;butter;7;0;2019-03-13;-0.14334707291517557
widelec;vork;fork;7;0;2019-03-11;-0.14334707291517557
pi?tek;vrijdag;friday;7;0;2018-08-30;-0.14334707291517557
w starczy;genoeg;enough;12;8;2018-09-09;-0.049427107133350745
pe?ny;vol;full;12;8;2018-08-24;-0.049427107133350745
szcz??liwej podró?y;goede reis;travel well;9;3;2018-08-29;-0.030300932229859967
spiesz? si?;ik heb haast;i am in a hurry;9;3;2018-08-25;-0.030300932229859967
panowie;heren;gentlemen;9;3;2018-08-24;-0.030300932229859967
o której?;hoe laat?;what time?;9;3;2018-08-31;-0.030300932229859967
raz;een;one;9;3;2018-08-29;-0.030300932229859967
r?ka;hand;hand;9;3;2018-09-09;-0.030300932229859967
to jest moja walizka;dit is mijn koffer;this is my suitcase;9;3;2018-09-06;-0.030300932229859967
luty;februari;February;9;3;2018-09-08;-0.030300932229859967
jak on si? nazywa?;hoe heet hij?;what is he called?;9;3;2018-08-25;-0.030300932229859967
urz?d miejski;stadhuis;city hall;9;3;2018-08-24;-0.030300932229859967
dziewi??dziesi?t;negentig;ninety;9;3;2018-08-31;-0.030300932229859967
g?owa;hoofd;head;9;3;2018-09-09;-0.030300932229859967
brzydki;lelijk;ugly;14;11;2018-09-09;0.06361903355196574
pod;onder;beneath;11;6;2018-08-29;0.0827452084554583
grzeczny;lief;kind;11;6;2018-08-27;0.0827452084554583
lipiec;juli;July;11;6;2018-09-08;0.0827452084554583
zepsute;kapot;broken;11;6;2018-09-11;0.0827452084554583
list;brief;letter;8;1;2018-09-12;0.10187138335895085
bez;zonder;without;8;1;2018-09-10;0.10187138335895085
talerz;bord;plate;8;1;2018-09-12;0.10187138335895085
jestem Holendrem;ik ben Nederlander;I am from the Netherlands;8;1;2018-08-25;0.10187138335895085
wszystko;alles;everything;8;1;2018-09-09;0.10187138335895085
ciastka;gebak;cake;8;1;2018-08-30;0.10187138335895085
ciemny;donker;dark;8;1;2018-09-11;0.10187138335895085
go;hem;him;8;1;2018-09-10;0.10187138335895085
serdecznie dzi?kuj? za go?cin?;hartelijk dank voor de gastvrijheid;thank you very much for the hospitality;8;1;2018-08-25;0.10187138335895085
siódmy;zevende;seventh;8;1;2018-08-31;0.10187138335895085
torty;taart;pie;8;1;2018-08-30;0.10187138335895085
nó?;mes;knife;8;1;2018-08-24;0.10187138335895085
chyba;waarschijnlijk;probably;8;1;2018-09-10;0.10187138335895085
szary;grijs;grey;8;1;2018-09-11;0.10187138335895085
pieprz;peper;pepper;8;1;2018-11-07;0.10187138335895085
codziennie;elke dag;every day;8;1;2018-08-27;0.10187138335895085
migda?;amandel;almond;8;1;2019-03-13;0.10187138335895085
pokój do wynaj?cia;kamer te huur;room for rent;8;1;2018-08-24;0.10187138335895085
powiedzie?;vertellen;to tell;8;1;2019-03-26;0.10187138335895085
dziewi??;negen;nine;8;1;2018-08-30;0.10187138335895085
bardzo dobrze;heel goed;very well;8;1;2018-08-25;0.10187138335895085
kierunek;richting;direction;8;1;2018-08-24;0.10187138335895085
fasola;boon;bean;8;1;2019-03-14;0.10187138335895085
siedemnasty;zeventiende;seventeenth;8;1;2018-08-31;0.10187138335895085
nie wiem;ik weet het niet;I don't know;8;1;2018-08-29;0.10187138335895085
portier;concierge;concierge;8;1;2018-08-24;0.10187138335895085
br?zowy;bruin;brown;8;1;2018-09-11;0.10187138335895085
podró?owa?;reizen;to travel;8;1;2018-09-11;0.10187138335895085
góra;berg;mountain;8;1;2018-09-12;0.10187138335895085
toalety;toiletten;toilets;8;1;2018-08-24;0.10187138335895085
biuro podró?y;reisbureau;travel agency;8;1;2018-08-24;0.10187138335895085
osiemdziesi?t;tachtig;eighty;8;1;2018-08-31;0.10187138335895085
co pan (pani) mówi?;wat zegt u?;what are you saying?;8;1;2018-08-24;0.10187138335895085
siedemdziesi?t;zeventig;seventy;8;1;2018-08-31;0.10187138335895085
to si? zgadza;dat klopt;that is correct;8;1;2018-09-06;0.10187138335895085
wsz?dzie;overal;everywhere;13;9;2018-08-29;0.19579134914077656
dwie?cie;tweehonderd;two hundred;13;9;2018-08-31;0.19579134914077656
wolny;vrij;free;10;4;2018-08-24;0.21491752404426734
czterysta;vierhonderd;four hundred;10;4;2018-08-31;0.21491752404426734
okienko;balie;counter;10;4;2018-09-12;0.21491752404426734
zaj?ty;bezet;occupied;10;4;2018-08-24;0.21491752404426734
tydzie?;week;week;10;4;2018-09-06;0.21491752404426734
czy móg?by pan to powtórzy??;wilt u dat herhalen?;could you repeat that?;10;4;2018-08-25;0.21491752404426734
stopa;voet;foot;10;4;2018-09-09;0.21491752404426734
jak pan (pani) si? miewa?;hoe gaat het met u?;how are you?;10;4;2018-08-25;0.21491752404426734
przedwczoraj;eergisteren;the day before yesterday;10;4;2018-09-06;0.21491752404426734
zachmurzenie;bewolking;clouds;12;7;2018-08-29;0.3279636647295838
naprawd?;echt;really;12;7;2018-09-10;0.3279636647295838
s?owo;woord;word;12;7;2018-08-25;0.3279636647295838
lewy;links;left;9;2;2018-08-24;0.34708983963307816
piasek;zand;sand;9;2;2018-08-24;0.34708983963307816
trzynasty;dertiende;thirteenth;9;2;2018-08-31;0.34708983963307816
szkoda;jammer;unfortunate;9;2;2018-08-30;0.34708983963307816
trzyna?cie;dertien;thirteen;9;2;2018-08-30;0.34708983963307816
wiatr;wind;wind;9;2;2018-08-29;0.34708983963307816
pierwszy;eerste;first;9;2;2018-08-31;0.34708983963307816
za wcze?nie;te vroeg;too early;9;2;2018-08-31;0.34708983963307816
wolny dzie?;vrije dag;free day;9;2;2018-08-31;0.34708983963307816
jutro wyje?d?am;Ik vertrek morgen', 'Morgen vertrek ik;I leave tomorrow;9;2;2018-09-11;0.34708983963307816
dla niepal?cych;niet roken;don't smoke;9;2;2018-08-24;0.34708983963307816
palec;vinger;finger;9;2;2018-09-09;0.34708983963307816
mieszkanie;woning;flat;9;2;2018-08-24;0.34708983963307816
dziewi?tnasty;negentiende;nineteenth;9;2;2018-08-31;0.34708983963307816
dziewi?ty;negende;nineth;9;2;2018-08-31;0.34708983963307816
przed;voor;before;14;10;2018-08-31;0.4410098054149003
czternasty;veertiende;fourteenth;11;5;2018-08-31;0.46013598031839464
pi??dziesi?t;vijftig;fifty;11;5;2018-08-31;0.46013598031839464
kwiecie?;april;April;28;33;2018-09-08;0.4775512464862466
oliwka;olijf;olive;8;0;2019-03-14;0.4792621552218872
pije;hij drinkt;he drinks;8;0;2019-03-13;0.4792621552218872
noga;been;leg;8;0;2018-09-09;0.4792621552218872
do zobaczenia;tot ziens;see you;8;0;2018-08-25;0.4792621552218872
która godzina?;hoe laat is het?;what time is it?;8;0;2018-08-31;0.4792621552218872
i;en;and;8;0;2019-03-13;0.4792621552218872
lekcja;les;lecture;8;0;2018-08-24;0.4792621552218872
orzech w?oski;walnoot;walnut;8;0;2019-03-13;0.4792621552218872
dobrze;goed;good;8;0;2018-08-29;0.4792621552218872
i??;gaan;to go;8;0;2018-09-09;0.4792621552218872
ch?opiec;jongen;boy;8;0;2019-03-13;0.4792621552218872
ananas;ananas;pineapple;8;0;2019-03-14;0.4792621552218872
recepcja;receptie;reception;8;0;2018-08-29;0.4792621552218872
pijemy;wij drinken;we drink;8;0;2019-03-13;0.4792621552218872
makaron;macaroni;pasta;8;0;2019-03-13;0.4792621552218872
dziewczyna;meisje;girl;8;0;2019-03-13;0.4792621552218872
pi??;vijf;five;8;0;2018-08-30;0.4792621552218872
ale;maar;but;8;0;2018-09-10;0.4792621552218872
szynka;ham;ham;8;0;2019-03-13;0.4792621552218872
sze??set;zeshonderd;six hundred;8;0;2018-08-31;0.4792621552218872
rzeczowników;zelfstandig naamwoord;noun;8;0;2018-08-22;0.4792621552218872
cytryna;citroen;lemon;8;0;2019-03-11;0.4792621552218872
?adny;mooi;beautiful;8;0;2018-08-24;0.4792621552218872
siedem;zeven;seven;8;0;2018-08-30;0.4792621552218872
wi?nia;kers;cherry;8;0;2019-03-14;0.4792621552218872
syn;zoon;son;8;0;2018-08-22;0.4792621552218872
ko?;paard;horse;8;0;2018-08-24;0.4792621552218872
?obuz;boefje;rascal;8;0;2018-11-07;0.4792621552218872
mecz;wedstrijd;match;8;0;2018-08-24;0.4792621552218872
?mia? si?;lachen;to laugh;8;0;2018-09-09;0.4792621552218872
kokos;kokosnoot;coconut;8;0;2019-03-13;0.4792621552218872
zap??ci?;betalen;to pay;8;0;2018-09-06;0.4792621552218872
